# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		106180		2721		1589
1		86612		5435		1898
2		72222		8127		1948
3		63296		10812		1985
4		57014		13495		2007
5		53279		16166		2016
6		49688		18830		2024
7		48387		21495		2051
8		46733		24160		2041
9		45678		26819		2033
10		45008		29472		2041
11		44678		32140		2028
12		44150		34807		2030
13		43857		37451		2025
14		43425		40120		2029
15		43101		42773		2017
16		42873		45414		2030
17		42555		48072		2027
18		42389		50735		2031
19		42346		53386		2037
20		42314		56052		2036
21		42291		58715		2037
22		42197		61368		2042
23		42140		64016		2042
24		42129		66678		2044
25		42109		69346		2036
26		42034		71994		2042
27		41863		74641		2048
28		41830		77281		2037
29		41790		79932		2041
30		41731		82569		2039
31		41746		85226		2039
32		41710		87886		2042
33		41716		90536		2040
34		41697		93192		2044
35		41635		95848		2038
36		41619		98491		2045
37		41597		101153		2040
38		41582		103793		2038
39		41515		106447		2034
40		41513		109093		2044
41		41485		111735		2037
42		41457		114382		2038
43		41457		117025		2040
44		41448		119667		2042
45		41442		122309		2046
46		41434		124958		2040
47		41392		127589		2041
48		41389		130243		2040
49		41391		132886		2039
50		41397		135527		2038
51		41393		138178		2032
52		41374		140825		2031
53		41350		143456		2032
54		41355		146109		2037
55		41365		148755		2035
56		41358		151410		2035
57		41350		154049		2035
58		41338		156706		2036
59		41354		159338		2035
60		41351		161972		2049
61		41365		164624		2044
62		41337		167265		2043
63		41338		169917		2041
64		41335		172560		2041
65		41332		175206		2045
66		41329		177848		2042
67		41336		180498		2041
68		41323		183158		2040
69		41313		185792		2043
70		41327		188452		2045
71		41332		191098		2049
72		41317		193749		2042
73		41330		196394		2037
74		41328		199052		2037
75		41322		201694		2040
76		41324		204333		2040
77		41334		206994		2043
78		41335		209647		2042
79		41331		212295		2037
80		41329		214951		2029
81		41324		217598		2031
82		41329		220230		2028
83		41329		222882		2027
84		41321		225534		2028
85		41317		228196		2024
86		41315		230846		2037
87		41306		233475		2031
